Date,Close Price,Equifax
2016-09-07,135.190002,1
2016-09-07,219.009995,0
2016-09-08,134.679993,1
2016-09-08,218.509995,0
2016-09-09,131.089996,1
2016-09-09,213.279999,0
2016-09-12,133.080002,1
2016-09-12,216.339996,0
2016-09-13,131.460007,1
2016-09-13,213.229996,0
2016-09-14,131.899994,1
2016-09-14,213.149994,0
2016-09-15,134.350006,1
2016-09-15,215.279999,0
2016-09-16,132.210007,1
2016-09-16,213.369995,0
2016-09-19,131.550003,1
2016-09-19,213.410004,0
2016-09-20,131.850006,1
2016-09-20,213.419998,0
2016-09-21,133.119995,1
2016-09-21,215.820007,0
2016-09-22,133.660004,1
2016-09-22,217.179993,0
2016-09-23,132.130005,1
2016-09-23,215.990005,0
2016-09-26,131.309998,1
2016-09-26,214.240005,0
2016-09-27,132.649994,1
2016-09-27,215.570007,0
2016-09-28,134.419998,1
2016-09-28,216.639999,0
2016-09-29,133.330002,1
2016-09-29,214.679993,0
2016-09-30,134.580002,1
2016-09-30,216.300003,0
2016-10-03,133.970001,1
2016-10-03,215.779999,0
2016-10-04,133.270004,1
2016-10-04,214.679993,0
2016-10-05,132.050003,1
2016-10-05,215.630005,0
2016-10-06,132.210007,1
2016-10-06,215.779999,0
2016-10-07,130.139999,1
2016-10-07,215.039993,0
2016-10-10,131.110001,1
2016-10-10,216.160004,0
2016-10-11,128.649994,1
2016-10-11,213.429993,0
2016-10-12,130.029999,1
2016-10-12,213.710007,0
2016-10-13,128.990005,1
2016-10-13,213.009995,0
2016-10-14,130.350006,1
2016-10-14,213.119995,0
2016-10-17,129.529999,1
2016-10-17,212.380005,0
2016-10-18,130.279999,1
2016-10-18,213.710007,0
2016-10-19,130.210007,1
2016-10-19,214.279999,0
2016-10-20,129.529999,1
2016-10-20,213.880005,0
2016-10-21,129.759995,1
2016-10-21,213.979996,0
2016-10-24,131.190002,1
2016-10-24,214.889999,0
2016-10-25,130.429993,1
2016-10-25,214.169998,0
2016-10-26,128.710007,1
2016-10-26,213.740005,0
2016-10-27,123.169998,1
2016-10-27,213.169998,0
2016-10-28,122,1
2016-10-28,212.539993,0
2016-10-31,123.970001,1
2016-10-31,212.550003,0
2016-11-01,123.639999,1
2016-11-01,211.009995,0
2016-11-02,122.43,1
2016-11-02,209.740005,0
2016-11-03,122.970001,1
2016-11-03,208.779999,0
2016-11-04,123.610001,1
2016-11-04,208.550003,0
2016-11-07,126.089996,1
2016-11-07,213.149994,0
2016-11-08,127.07,1
2016-11-08,214.110001,0
2016-11-09,122.529999,1
2016-11-09,216.380005,0
2016-11-10,116.230003,1
2016-11-10,216.919998,0
2016-11-11,114.029999,1
2016-11-11,216.419998,0
2016-11-14,115.139999,1
2016-11-14,216.589996,0
2016-11-15,118.150002,1
2016-11-15,218.279999,0
2016-11-16,119.5,1
2016-11-16,217.869995,0
2016-11-17,121.809998,1
2016-11-17,218.990005,0
2016-11-18,121.559998,1
2016-11-18,218.5,0
2016-11-21,121.599998,1
2016-11-21,220.149994,0
2016-11-22,120.239998,1
2016-11-22,220.580002,0
2016-11-23,120.07,1
2016-11-23,220.699997,0
2016-11-25,120.059998,1
2016-11-25,221.520004,0
2016-11-28,119.190002,1
2016-11-28,220.479996,0
2016-11-29,119.32,1
2016-11-29,220.910004,0
2016-11-30,114.449997,1
2016-11-30,220.380005,0
2016-12-01,111.540001,1
2016-12-01,219.570007,0
2016-12-02,114.029999,1
2016-12-02,219.679993,0
2016-12-05,114.330002,1
2016-12-05,221,0
2016-12-06,113.5,1
2016-12-06,221.699997,0
2016-12-07,115.989998,1
2016-12-07,224.600006,0
2016-12-08,117.599998,1
2016-12-08,225.149994,0
2016-12-09,117.160004,1
2016-12-09,226.509995,0
2016-12-12,117.029999,1
2016-12-12,226.25,0
2016-12-13,116.480003,1
2016-12-13,227.759995,0
2016-12-14,115.849998,1
2016-12-14,225.880005,0
2016-12-15,117.129997,1
2016-12-15,226.809998,0
2016-12-16,116.970001,1
2016-12-16,225.039993,0
2016-12-19,116.019997,1
2016-12-19,225.529999,0
2016-12-20,116.089996,1
2016-12-20,226.399994,0
2016-12-21,118.650002,1
2016-12-21,225.770004,0
2016-12-22,118.910004,1
2016-12-22,225.380005,0
2016-12-23,119.650002,1
2016-12-23,225.710007,0
2016-12-27,118.589996,1
2016-12-27,226.270004,0
2016-12-28,118.480003,1
2016-12-28,224.399994,0
2016-12-29,118.669998,1
2016-12-29,224.350006,0
2016-12-30,118.230003,1
2016-12-30,223.529999,0
2017-01-03,118.760002,1
2017-01-03,225.240005,0
2017-01-04,119.339996,1
2017-01-04,226.580002,0
2017-01-05,119.980003,1
2017-01-05,226.399994,0
2017-01-06,121,1
2017-01-06,227.210007,0
2017-01-09,119.839996,1
2017-01-09,226.460007,0
2017-01-10,120.040001,1
2017-01-10,226.460007,0
2017-01-11,120.519997,1
2017-01-11,227.100006,0
2017-01-12,120.860001,1
2017-01-12,226.529999,0
2017-01-13,120.309998,1
2017-01-13,227.050003,0
2017-01-17,120.660004,1
2017-01-17,226.25,0
2017-01-18,120.260002,1
2017-01-18,226.75,0
2017-01-19,120.18,1
2017-01-19,225.910004,0
2017-01-20,118.080002,1
2017-01-20,226.740005,0
2017-01-23,118.18,1
2017-01-23,226.149994,0
2017-01-24,118.870003,1
2017-01-24,227.600006,0
2017-01-25,118.629997,1
2017-01-25,229.570007,0
2017-01-26,117.839996,1
2017-01-26,229.330002,0
2017-01-27,118.089996,1
2017-01-27,228.970001,0
2017-01-30,117.339996,1
2017-01-30,227.550003,0
2017-01-31,117.279999,1
2017-01-31,227.529999,0
2017-02-01,117.209999,1
2017-02-01,227.619995,0
2017-02-02,118.050003,1
2017-02-02,227.770004,0
2017-02-03,120.349998,1
2017-02-03,229.339996,0
2017-02-06,120.529999,1
2017-02-06,228.929993,0
2017-02-07,121.139999,1
2017-02-07,228.940002,0
2017-02-08,121.989998,1
2017-02-08,229.240005,0
2017-02-09,128.130005,1
2017-02-09,230.600006,0
2017-02-10,130.559998,1
2017-02-10,231.509995,0
2017-02-13,130.119995,1
2017-02-13,232.770004,0
2017-02-14,130.320007,1
2017-02-14,233.699997,0
2017-02-15,130.059998,1
